,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
IRVR,3,2,0,0,0,1,1,0,14,0,0,56,0,0,0,0,1,3,0,2,1,7,0,11,5,6,0,4,2,0,0,0,2,9,0,0,1,0,0,0,1,15,0,0,0,0,4,1,0,3,0,0,0,0,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,7,0,0,4,1,1,0,0,0,1,0,0,0,46,5,0,0,0,0,0,0,7,0,5,1,0,2
KAIA,0,35,0,0,0,3,2,0,1,0,45,0,0,0,0,0,1,9,1,0,0,5,5,1,0,1,0,0,5,0,0,0,0,112,0,0,0,4,2,3,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,48,0,0,1,0,1,0,0,0,0,3,140,2,0,32,3,0,47,0,0,1,0,0,0,0,0,1,2,0,0,56,0,0,0,0,0,0,0,0,103,0,0,0
KINB,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,1,2,8,21,5,5,9,0,12,18,13,0,5,0,0,0,22,1,9,0,9,12,5,14,7,0,1,3,32,0,11,2,17,6,6,3,9,18,8,13,3,4,0,13,0,3,0,6,14,9,0,16,5,2,2,2,0,0,10,1,3,2,1,19,1,3,0,0,4,7,0
KINW,1,2,0,1,0,19,1,2,9,0,1,0,0,1,1,0,0,1,0,1,0,1,0,3,0,0,1,0,1,1,0,11,5,4,12,7,0,1,5,2,1,2,1,0,0,1,0,25,2,1,2,1,0,1,0,5,1,3,0,2,0,3,1,23,75,9,2,11,5,0,0,1,44,0,3,9.7738693467,10,8,0,3,16,0,1,1,0,0,0,1,0,14,0,5,0,4,3,0,1,1,1,1
LAMC,0,4,0,0,0,0,0,0,3,0,1,7,0,2,2,0,0,6,0,0,0,2,3,3,0,6,0,0,0,2,0,541,0,1,13,1,0,2,13,0,0,1,0,0,0,0,0,1,0,0,587,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,2,0,0,8,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,1,0
LPIH,8,20,0,1,0,1,1,0,0,0,1,7,6,2,7,0,2,2,1,0,0,0,1,0,0,4,6,5,0,22,2,10,0,13,43,0,1,0,70,1,0,2,0,0,0,2,0,0,0,1,3,2,2,0,0,0,0,30,0,0,0,0,2,0,0,2,0,25,0,6,0,51,0,0,0,0,1,2,1,0,6,2,0,0,0,2,0,6,0,0,1,1,0,0,0,0,1,1,1,0
MISS,0,0,0,0,0,2,2,0,13,0,17,32,0,1,0,0,0,7,1,14,4,5,2,49,1,15,0,2,3,0,0,0,0,0,0,0,152,1,0,0,47,7,0,0,3,0,117,4,159,4,0,0,0,0,0,1,4,4,16,0,0,1,0,0,2,0,0,3,223,2,0,1,16,0,0,0,6,0,0,95,0,0,0,0,0,0,0,11,0,3,0,0,0,0,1,106,0,0,1,1
OCMM,0,5,1,1,0,26,2,0,16,0,8,25,0,0,0,0,1,2,0,0,0,3,0,4,1,3,0,1,0,0,0,2,24,18,57,29,2,1,15,1,7,124,0,0,0,0,0,4,8,7,5,16,16,0,2,14,1,28,0,17,0,9,0,12,109,0,0,2,88,2,0,5,280,1,224,0,14,2,5,0,3,0,0,0,0,4,2,34,0,167,0,0,0,0,1,0,3,6,2,7
PLAC,0,20,0,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,51,1,0,5,0,2,29,4,0,0,1,4,16,0,0,93,10,0,0,20,0,0,0,5,0,0,5,0,0,5,56,37,0,0,5,15,0,1,129,0,4,0,0,0,0,5,0,0,23,0,0,0,9,0,0,0,0,0,1,0,30,0,31,0,0,14,5,0,0,0,70,9,0,0,1,1,47,0
SCLE,0,0,0,0,1,0,0,0,1,0,3,3,0,4,0,0,9,0,0,0,2,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,60,2,0,0,319,3,0,0,0,0,6,0,28,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
