,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
SJUD,13,116,26,4,6,14,18,6,40,1,13,27,101,2,9,12,15,9,137,3,3,131,4571,2,1,77,29,17,33,9,0,0,0,3,4,0,0,35,7,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,4,8,2,0,1,52,0,158,0,1,0,0,0,0,2,0,7,0,0,0,0,2,6,2,0,1,0,30,0,271,2,0,0,0,2,2,0,0,0,0,0,0,6,108,6
SMMC,4,7,6,6,10,18,5,3,67,2,59,16,0,32,3,5,376,43,5,104,68,23,2,3100,6,56,0,19,23,0,0,0,1,0,0,0,19,0,1,2,33,64,0,0,3,0,48,11,752,11,0,10,0,0,0,3,3,9,186,0,0,0,0,0,0,0,0,0,195,1,0,4,23,1,10,0,41,1,0,459,0,0,0,0,0,1,6,23,10,1,0,0,0,0,0,254,0,1,0,1
TUSH,53,9,4,8,31,22,15,11,6,3,4,2,1,0,0,5,11,9,0,2,3,16,5,9,307,25,8,14,48,0,0,0,0,0,3,0,0,0,2,1,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,4,0,0,0,0,0,1,0,3,0,2,0,0,0,0,2,1,1,0,1
UCIM,29,95,16,22,44,99,51,52,75,10,32,39,9,6,33,36,83,47,16,11,18,141,75,37,23,3344,91,116,70,1,5,7,26,7,15,0,4,3,59,32,2,39,0,0,2,44,1,29,5,6,1,56,5,4,0,1,17,32,0,4,4,2,5,10,17,0,12,2,9,9,0,7,9,0,2,5.864321608,14,26,12,7,5,0,1,6,2,15,1,14,11,3,12,0,0,9,4,5,0,4,2,14
WAMC,112,244,13,10,11,63,50,45,38,1,16,76,18,65,46,71,0,39,18,2,1,44,36,9,5,90,1434,55,35,85,8,5,4,322,80,0,0,2,112,16,0,5,0,0,0,17,0,2,0,1,2,32,0,8,0,0,1,3,0,16,4,3,2,11,3,23,8,126,0,38,0,17,8,0,16,0,2,4,0,8,28,0,0,4,0,76,0,2,0,2,12,0,0,0,0,0,118,118,5,11
WMCA,26,95,15,5,118,15,29,79,13,0,14,23,0,0,7,67,22,8,8,2,23,61,28,10,8,114,52,925,39,1,0,0,0,0,17,0,0,0,21,22,0,2,0,0,0,34,0,1,1,2,1,0,0,0,0,3,30,0,0,0,0,2,0,0,0,64,0,0,0,4,0,5,0,4,0,0,0,1,4,0,0,14,3,5,1,0,0,4,0,3,1,0,0,0,0,0,1,0,4,0
WMCS,28,53,35,41,6,60,55,10,44,71,43,24,0,0,6,4,26,34,28,5,4,174,45,33,13,66,21,58,1235,0,0,0,13,2,8,0,0,4,9,2,1,73,0,0,0,20,0,13,0,27,0,0,0,0,2,0,1,33,0,3,0,8,1,1,1,3,0,0,0,16,0,8,11,0,0,0,0,3,39,0,7,2,0,0,0,0,3,59,0,0,0,0,0,0,2,0,1,1,1,15
ACNC,39,4,0,2,0,2,6,0,0,0,0,0,4,0,2,11,0,0,0,0,0,2,11,0,0,0,72,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
AGBP,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
