MRSA-LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS,blank1,Dsch_Path_Abbrev,Dsch_ReAd_N,Dsch_Com_N,Dsch_NH_Com_N,Dsch_NH_ReAd_N,Dsch_ReAd_Pct,Dsch_Com_Pct,Dsch_NH_Com_Pct,Dsch_NH_ReAd_Pct,blank2,TimetoRe_Dsch_Read_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank3,NH_disch_Nxt_Src_byH_Abbrev,Readm_fr_NH_N,REadm_fr_Oth_N,Readm_fr_NH_Pct,REadm_fr_Oth_Pct,blank4,TimetoRe_Dsch_NH_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank5,LTC_tag,blank6,Comm_vs_NH-NH,blank7,MRSA+_LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS
ACNC,83,365,0,0,0,,ACNC,0,0,0,0,0,0,0,0,,ACNC,0,0,0,0,0,,ACNC,0,0,0,0,,ACNC,0,0,0,0,0,,1,,0.310973267,,ACNC,0,0,0,0,0
AGBP,31,365,0,0,0,,AGBP,0,0,0,0,0,0,0,0,,AGBP,0,0,0,0,0,,AGBP,0,0,0,0,,AGBP,0,0,0,0,0,,1,,0.833205691,,AGBP,0,0,0,0,0
ALAM,194,365,0,0,0,,ALAM,0,0,0,0,0,0,0,0,,ALAM,0,0,0,0,0,,ALAM,0,0,0,0,,ALAM,0,0,0,0,0,,1,,0.958481812,,ALAM,0,0,0,0,0
ALTA,129,365,0,0,0,,ALTA,0,0,0,0,0,0,0,0,,ALTA,0,0,0,0,0,,ALTA,0,0,0,0,,ALTA,0,0,0,0,0,,1,,0.914891309,,ALTA,0,0,0,0,0
ANHC,250,365,0,0,0,,ANHC,0,0,0,0,0,0,0,0,,ANHC,0,0,0,0,0,,ANHC,0,0,0,0,,ANHC,0,0,0,0,0,,1,,0.866063426,,ANHC,0,0,0,0,0
ATCC,99,365,0,0,0,,ATCC,0,0,0,0,0,0,0,0,,ATCC,0,0,0,0,0,,ATCC,0,0,0,0,,ATCC,0,0,0,0,0,,1,,0.843368558,,ATCC,0,0,0,0,0
BEAC,59,365,0,0,0,,BEAC,0,0,0,0,0,0,0,0,,BEAC,0,0,0,0,0,,BEAC,0,0,0,0,,BEAC,0,0,0,0,0,,1,,0.853943763,,BEAC,0,0,0,0,0
BGSJ,45,365,0,0,0,,BGSJ,0,0,0,0,0,0,0,0,,BGSJ,0,0,0,0,0,,BGSJ,0,0,0,0,,BGSJ,0,0,0,0,0,,1,,0.977398526,,BGSJ,0,0,0,0,0
BGYL,45,365,0,0,0,,BGYL,0,0,0,0,0,0,0,0,,BGYL,0,0,0,0,0,,BGYL,0,0,0,0,,BGYL,0,0,0,0,0,,1,,1,,BGYL,0,0,0,0,0
BPNC,143,365,0,0,0,,BPNC,0,0,0,0,0,0,0,0,,BPNC,0,0,0,0,0,,BPNC,0,0,0,0,,BPNC,0,0,0,0,0,,1,,0.877136313,,BPNC,0,0,0,0,0
BVCC,99,365,0,0,0,,BVCC,0,0,0,0,0,0,0,0,,BVCC,0,0,0,0,0,,BVCC,0,0,0,0,,BVCC,0,0,0,0,0,,1,,0.674041758,,BVCC,0,0,0,0,0
CAPO,93,365,0,0,0,,CAPO,0,0,0,0,0,0,0,0,,CAPO,0,0,0,0,0,,CAPO,0,0,0,0,,CAPO,0,0,0,0,0,,1,,0.971932775,,CAPO,0,0,0,0,0
CARE,174,365,0,0,0,,CARE,0,0,0,0,0,0,0,0,,CARE,0,0,0,0,0,,CARE,0,0,0,0,,CARE,0,0,0,0,0,,1,,0.962520245,,CARE,0,0,0,0,0
CMCH,9,365,0,0,0,,CMCH,0,0,0,0,0,0,0,0,,CMCH,0,0,0,0,0,,CMCH,0,0,0,0,,CMCH,0,0,0,0,0,,1,,1,,CMCH,0,0,0,0,0
CMLH,10,365,0,0,0,,CMLH,0,0,0,0,0,0,0,0,,CMLH,0,0,0,0,0,,CMLH,0,0,0,0,,CMLH,0,0,0,0,0,,1,,1,,CMLH,0,0,0,0,0
CMSA,12,365,0,0,0,,CMSA,0,0,0,0,0,0,0,0,,CMSA,0,0,0,0,0,,CMSA,0,0,0,0,,CMSA,0,0,0,0,0,,1,,1,,CMSA,0,0,0,0,0
COCT,97,365,0,0,0,,COCT,0,0,0,0,0,0,0,0,,COCT,0,0,0,0,0,,COCT,0,0,0,0,,COCT,0,0,0,0,0,,1,,0.881231513,,COCT,0,0,0,0,0
COVI,24,365,0,0,0,,COVI,0,0,0,0,0,0,0,0,,COVI,0,0,0,0,0,,COVI,0,0,0,0,,COVI,0,0,0,0,0,,1,,1,,COVI,0,0,0,0,0
CSNC,99,365,0,0,0,,CSNC,0,0,0,0,0,0,0,0,,CSNC,0,0,0,0,0,,CSNC,0,0,0,0,,CSNC,0,0,0,0,0,,1,,0.509661962,,CSNC,0,0,0,0,0
CVLH,208,365,0,0,0,,CVLH,0,0,0,0,0,0,0,0,,CVLH,0,0,0,0,0,,CVLH,0,0,0,0,,CVLH,0,0,0,0,0,,1,,0.991625535,,CVLH,0,0,0,0,0
CVPL,145,365,0,0,0,,CVPL,0,0,0,0,0,0,0,0,,CVPL,0,0,0,0,0,,CVPL,0,0,0,0,,CVPL,0,0,0,0,0,,1,,0.846492515,,CVPL,0,0,0,0,0
CVSB,198,365,0,0,0,,CVSB,0,0,0,0,0,0,0,0,,CVSB,0,0,0,0,0,,CVSB,0,0,0,0,,CVSB,0,0,0,0,0,,1,,0.965717684,,CVSB,0,0,0,0,0
EDNA,144,365,0,0,0,,EDNA,0,0,0,0,0,0,0,0,,EDNA,0,0,0,0,0,,EDNA,0,0,0,0,,EDNA,0,0,0,0,0,,1,,0.831093662,,EDNA,0,0,0,0,0
ELIZ,59,365,0,0,0,,ELIZ,0,0,0,0,0,0,0,0,,ELIZ,0,0,0,0,0,,ELIZ,0,0,0,0,,ELIZ,0,0,0,0,0,,1,,0.882581852,,ELIZ,0,0,0,0,0
EVER,300,365,0,0,0,,EVER,0,0,0,0,0,0,0,0,,EVER,0,0,0,0,0,,EVER,0,0,0,0,,EVER,0,0,0,0,0,,1,,0.782665479,,EVER,0,0,0,0,0
EXTW,99,365,0,0,0,,EXTW,0,0,0,0,0,0,0,0,,EXTW,0,0,0,0,0,,EXTW,0,0,0,0,,EXTW,0,0,0,0,0,,1,,0.797522261,,EXTW,0,0,0,0,0
FLAG,167,365,0,0,0,,FLAG,0,0,0,0,0,0,0,0,,FLAG,0,0,0,0,0,,FLAG,0,0,0,0,,FLAG,0,0,0,0,0,,1,,0.973586374,,FLAG,0,0,0,0,0
FOCC,169,365,0,0,0,,FOCC,0,0,0,0,0,0,0,0,,FOCC,0,0,0,0,0,,FOCC,0,0,0,0,,FOCC,0,0,0,0,0,,1,,0.968767729,,FOCC,0,0,0,0,0
FPCC,202,365,0,0,0,,FPCC,0,0,0,0,0,0,0,0,,FPCC,0,0,0,0,0,,FPCC,0,0,0,0,,FPCC,0,0,0,0,0,,1,,0.380973517,,FPCC,0,0,0,0,0
FREE,52,365,0,0,0,,FREE,0,0,0,0,0,0,0,0,,FREE,0,0,0,0,0,,FREE,0,0,0,0,,FREE,0,0,0,0,0,,1,,1,,FREE,0,0,0,0,0
GGCH,99,365,0,0,0,,GGCH,0,0,0,0,0,0,0,0,,GGCH,0,0,0,0,0,,GGCH,0,0,0,0,,GGCH,0,0,0,0,0,,1,,0.778172468,,GGCH,0,0,0,0,0
GORD,99,365,0,0,0,,GORD,0,0,0,0,0,0,0,0,,GORD,0,0,0,0,0,,GORD,0,0,0,0,,GORD,0,0,0,0,0,,1,,0.8702696,,GORD,0,0,0,0,0
GPCC,124,365,0,0,0,,GPCC,0,0,0,0,0,0,0,0,,GPCC,0,0,0,0,0,,GPCC,0,0,0,0,,GPCC,0,0,0,0,0,,1,,0.965000335,,GPCC,0,0,0,0,0
GREE,99,365,0,0,0,,GREE,0,0,0,0,0,0,0,0,,GREE,0,0,0,0,0,,GREE,0,0,0,0,,GREE,0,0,0,0,0,,1,,0.832573029,,GREE,0,0,0,0,0
HELP,99,365,0,0,0,,HELP,0,0,0,0,0,0,0,0,,HELP,0,0,0,0,0,,HELP,0,0,0,0,,HELP,0,0,0,0,0,,1,,0.688997104,,HELP,0,0,0,0,0
HVAL,144,365,0,0,0,,HVAL,0,0,0,0,0,0,0,0,,HVAL,0,0,0,0,0,,HVAL,0,0,0,0,,HVAL,0,0,0,0,0,,1,,0.895803162,,HVAL,0,0,0,0,0
HVCC,99,365,0,0,0,,HVCC,0,0,0,0,0,0,0,0,,HVCC,0,0,0,0,0,,HVCC,0,0,0,0,,HVCC,0,0,0,0,0,,1,,0.903425353,,HVCC,0,0,0,0,0
KINO,112,365,0,0,0,,KINO,0,0,0,0,0,0,0,0,,KINO,0,0,0,0,0,,KINO,0,0,0,0,,KINO,0,0,0,0,0,,1,,0.521578621,,KINO,0,0,0,0,0
KNOT,99,365,0,0,0,,KNOT,0,0,0,0,0,0,0,0,,KNOT,0,0,0,0,0,,KNOT,0,0,0,0,,KNOT,0,0,0,0,0,,1,,0.833205691,,KNOT,0,0,0,0,0
LAKE,175,365,0,0,0,,LAKE,0,0,0,0,0,0,0,0,,LAKE,0,0,0,0,0,,LAKE,0,0,0,0,,LAKE,0,0,0,0,0,,1,,0.994232068,,LAKE,0,0,0,0,0
LEIS,115,365,0,0,0,,LEIS,0,0,0,0,0,0,0,0,,LEIS,0,0,0,0,0,,LEIS,0,0,0,0,,LEIS,0,0,0,0,0,,1,,0.576661046,,LEIS,0,0,0,0,0
LHAB,86,365,0,0,0,,LHAB,0,0,0,0,0,0,0,0,,LHAB,0,0,0,0,0,,LHAB,0,0,0,0,,LHAB,0,0,0,0,0,,1,,0.953871935,,LHAB,0,0,0,0,0
LPAL,72,365,0,0,0,,LPAL,0,0,0,0,0,0,0,0,,LPAL,0,0,0,0,0,,LPAL,0,0,0,0,,LPAL,0,0,0,0,0,,1,,0.855244949,,LPAL,0,0,0,0,0
